REBECQ;180;25123;NIVELLES
WALHAIN;181;25124;NIVELLES
BEERNEM;182;31003;BRUGGE
BLANKENBERGE;183;31004;BRUGGE
BRUGGE;184;31005;BRUGGE
DAMME;185;31006;BRUGGE
JABBEKE;186;31012;BRUGGE
OOSTKAMP;187;31022;BRUGGE
TORHOUT;188;31033;BRUGGE
ZEDELGEM;189;31040;BRUGGE
ZUIENKERKE;190;31042;BRUGGE
KNOKKE-HEIST;191;31043;BRUGGE
DIKSMUIDE;192;32003;DIKSMUIDE
HOUTHULST;193;32006;DIKSMUIDE
KOEKELARE;194;32010;DIKSMUIDE
KORTEMARK;195;32011;DIKSMUIDE
LO-RENINGE;196;32030;DIKSMUIDE
IEPER;197;33011;IEPER
MESEN;198;33016;IEPER
POPERINGE;199;33021;IEPER
WERVIK;200;33029;IEPER
ZONNEBEKE;201;33037;IEPER
HEUVELLAND;202;33039;IEPER
LANGEMARK-POELKAPELLE;203;33040;IEPER
VLETEREN;204;33041;IEPER
ANZEGEM;205;34002;KORTRIJK
AVELGEM;206;34003;KORTRIJK
DEERLIJK;207;34009;KORTRIJK
HARELBEKE;208;34013;KORTRIJK
KORTRIJK;209;34022;KORTRIJK
KUURNE;210;34023;KORTRIJK
LENDELEDE;211;34025;KORTRIJK
MENEN;212;34027;KORTRIJK
WAREGEM;213;34040;KORTRIJK
WEVELGEM;214;34041;KORTRIJK
ZWEVEGEM;215;34042;KORTRIJK
SPIERE-HELKIJN;216;34043;KORTRIJK
BREDENE;217;35002;OOSTENDE
GISTEL;218;35005;OOSTENDE
ICHTEGEM;219;35006;OOSTENDE
MIDDELKERKE;220;35011;OOSTENDE
OOSTENDE;221;35013;OOSTENDE
OUDENBURG;222;35014;OOSTENDE
DE-HAAN;223;35029;OOSTENDE
ROESELARE;224;36015;ROESELARE
HOOGLEDE;225;36006;ROESELARE
INGELMUNSTER;226;36007;ROESELARE
IZEGEM;227;36008;ROESELARE
LEDEGEM;228;36010;ROESELARE
LICHTERVELDE;229;36011;ROESELARE
MOORSLEDE;230;36012;ROESELARE
STADEN;231;36019;ROESELARE
DENTERGEM;232;37002;TIELT
MEULEBEKE;233;37007;TIELT
OOSTROZEBEKE;234;37010;TIELT
PITTEM;235;37011;TIELT
RUISELEDE;236;37012;TIELT
TIELT;237;37015;TIELT
WIELSBEKE;238;37017;TIELT
WINGENE;239;37018;TIELT
ARDOOIE;240;37020;TIELT
ALVERINGEM;241;38002;VEURNE
DE-PANNE;242;38008;VEURNE
KOKSIJDE;243;38014;VEURNE
NIEUWPOORT;244;38016;VEURNE
VEURNE;245;38025;VEURNE
AALST;246;41002;AALST
DENDERLEEUW;247;41011;AALST
GERAARDSBERGEN;248;41018;AALST
HAALTERT;249;41024;AALST
HERZELE;250;41027;AALST
LEDE;251;41034;AALST
NINOVE;252;41048;AALST
ST-LIEVENS-HOUTEM;253;41063;AALST
ZOTTEGEM;254;41081;AALST
ERPE-MERE;255;41082;AALST
BERLARE;256;42003;DENDERMONDE
BUGGENHOUT;257;42004;DENDERMONDE
DENDERMONDE;258;42006;DENDERMONDE
HAMME;259;42008;DENDERMONDE
LAARNE;260;42010;DENDERMONDE
LEBBEKE;261;42011;DENDERMONDE
WAASMUNSTER;262;42023;DENDERMONDE
WETTEREN;263;42025;DENDERMONDE
WICHELEN;264;42026;DENDERMONDE
ZELE;265;42028;DENDERMONDE
ASSENEDE;266;43002;EEKLO
EEKLO;267;43005;EEKLO
KAPRIJKE;268;43007;EEKLO
MALDEGEM;269;43010;EEKLO
ST-LAUREINS;270;43014;EEKLO
ZELZATE;271;43018;EEKLO
AALTER;272;44001;GENT
DEINZE;273;44011;GENT
DE-PINTE;274;44012;GENT
DESTELBERGEN;275;44013;GENT
EVERGEM;276;44019;GENT
GAVERE;277;44020;GENT
