Code,Name,Lat,Long
23045,LONDERZEEL,4.273668934341780,51.008668276314600
23047,MACHELEN,4.443242396046670,50.903155960409800
23050,MEISE,4.313806230220540,50.962389529992600
23052,MERCHTEM,4.236977590414170,50.951646837605200
23060,OPWIJK,4.180416953772430,50.961486582331600
23062,OVERIJSE,4.537710573265250,50.766777772714700
23064,PEPINGEN,4.154655435517540,50.749026385534700
23077,ST-PIETERS-LEEUW,4.242837277642150,50.789204559233600
23081,STEENOKKERZEEL,4.502713162536580,50.933849286910500
23086,TERNAT,4.155445862990020,50.869972401333300
23088,VILVOORDE,4.425387539131950,50.927983942682800
23094,ZAVENTEM,4.483737375512810,50.864933882456400
23096,ZEMST,4.456387111552330,50.977227087937000
23097,ROOSDAAL,4.095477478474170,50.837532729521600
23098,DROGENBOS,4.308076013745280,50.795135301630500
